"Kerncijfers wijken en buurten 2014"
"Onderwerpen";"Regioaanduiding";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie"
"Onderwerpen";"Codering";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik"
"Onderwerpen";"Codering";"Gemiddeld elektriciteitsverbruik totaal";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar eigendom";"Naar eigendom"
"Onderwerpen";"Codering";"Gemiddeld elektriciteitsverbruik totaal";"Appartement";"Tussenwoning";"Hoekwoning";"Twee-onder-één-kap-woning";"Vrijstaande woning";"Huurwoning";"Koopwoning"
"Wijken en buurten";"code";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh"
"Verspreide huizen Onner Esch";"BU00170108";"4750";".";".";".";"3950";"4950";"4050";"4950"
"Verspr.h. ten oosten van de Hondsrug";"BU00170109";".";".";".";".";".";".";".";"."
"Hoogezand-Sappemeer";"GM0018";"2950";"2000";"2950";"3100";"3350";"3950";"2400";"3400"
"Wijk 01 Foxham en Hoogezand-Noord";"WK001801";"2500";"2000";"2650";"2850";"3350";"3800";"2150";"3000"
"Noorderpark";"BU00180101";"2250";"1950";"2600";"2700";"3400";"3800";"2050";"2600"
"Westerpark";"BU00180102";"2800";"2400";"2650";"3000";"2950";"3500";"2300";"3050"
"Beukemabuurt";"BU00180103";"2000";"1450";"2750";"3050";"3200";".";"1850";"3100"
"Oosterpark";"BU00180104";"3450";"2650";"2750";"3800";"3450";"3800";"3150";"3550"
"Martenshoek";"BU00180105";"2650";"2100";"3400";"3600";"3200";"3700";"2000";"3050"
"Industriegebied Martenshoek";"BU00180106";"3650";".";"3100";"3750";"3500";"3950";"3850";"3600"
"Stadshart-Noord";"BU00180107";"2400";"2150";"2800";"2150";"4150";"3900";"2200";"2850"
"Wijk 02 Hoogezand-Zuid";"WK001802";"2800";"2050";"3000";"3200";"3050";"3750";"2450";"3250"
"Spoorstraat en Kieldiep";"BU00180201";"2450";"1900";"2900";"3150";"2850";"4250";"2050";"2950"
"Burgemeester van Royenstraat en omgeving";"BU00180202";"3200";"1900";".";".";"3000";"3850";"2750";"3500"
"Gorecht-Noord";"BU00180203";"2200";"1950";"2900";"3100";"2900";"3400";"1950";"3050"
"Gorechtpark";"BU00180204";".";".";".";".";".";".";".";"."
"Gorecht-West";"BU00180205";"2900";"2300";"2850";"3100";"2850";".";"2850";"3000"
"Woldwijck-West";"BU00180206";"3300";".";"3150";"3400";"3450";"4000";"2850";"3450"
"Woldwijck-Midden";"BU00180207";"2650";"2350";"2900";"2950";".";".";"2550";"3000"
"Woldwijck-Oost";"BU00180208";"3150";".";"3050";"3300";"3400";".";"2850";"3350"
"Kropswolderpolder";"BU00180209";".";".";".";".";".";".";".";"."
"Gorechtpark-Oost";"BU00180210";"2800";"1750";"3000";"3650";"3700";"3600";"1850";"3450"
"Wijk 03 Kalkwijk";"WK001803";"3500";"2250";"3150";"3150";"3650";"4000";"2750";"3500"
"Stadshart-Zuid";"BU00180301";"2150";"2150";".";".";".";".";"1850";"2400"
"Zuiderpark";"BU00180302";"3350";".";"2850";"2800";"3250";"3800";"3000";"3450"
"De Dreven";"BU00180303";"3750";"2600";"3700";"3600";"3800";"4100";"3550";"3750"
"De Vosholen-West";"BU00180304";"4000";".";"3250";"3350";"3750";"4100";"3500";"3550"
"Kalkwijk-Zuid";"BU00180305";"4250";".";".";".";".";"4250";".";"4150"
"Kalkwijk-Noord";"BU00180306";".";".";".";".";".";".";".";"."
"Wijk 05 Kiel-Windeweer";"WK001805";"3900";".";".";".";"3350";"4050";"3800";"3900"
"Kiel-Windeweer";"BU00180501";"3850";".";".";".";"3200";"4000";"3950";"3800"
"Kiel-Windeweer Buiten";"BU00180502";"4200";".";".";".";"4250";"4200";".";"4350"
"Wijk 06 Kropswolde";"WK001806";"4300";".";".";".";"4000";"4500";"3700";"4400"
"Recreatiegebied Meerwijck";"BU00180601";"3000";".";".";".";".";"3000";".";"2950"
"Polder Kropswolde";"BU00180602";"3900";".";".";".";".";"4000";".";"3900"
"Meerwijck";"BU00180603";"4700";".";".";".";"4150";"5000";"4450";"4700"
"Polder Wolfsbarge";"BU00180604";"4250";".";".";".";".";"4300";".";"4450"
"Kropswolderbuitenpolder";"BU00180605";"4050";".";".";".";".";"4400";"3150";"4500"
"Kropswolde";"BU00180606";"3400";".";".";".";"3400";"3550";"3200";"3550"
"Wijk 07 Foxhol";"WK001807";"3050";"1900";"2650";"3000";"3650";"3650";"2450";"3400"
"Foxhol";"BU00180701";"2900";"1900";"2650";"3000";"3650";"3050";"2450";"3250"
"Foxholsterbosch";"BU00180702";"4100";".";".";".";"3600";"4400";".";"4200"
"Wijk 08 Westerbroek";"WK001808";"3600";".";"3250";"3050";"3050";"4100";"3200";"3650"
"Westerbroekstermolenpolder";"BU00180801";"3850";".";".";".";"2900";"4250";"3300";"3900"
