"Kerncijfers wijken en buurten 2014"
"Onderwerpen";"Regioaanduiding";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen"
"Onderwerpen";"Codering";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van huishoudens";"Inkomen van huishoudens";"Inkomen van huishoudens";"Inkomen van huishoudens"
"Onderwerpen";"Codering";"Aantal inkomensontvangers  ";"Gemiddeld inkomen per inkomensontvanger ";"Gemiddeld inkomen per inwoner ";"40% personen met laagste inkomen";"20% personen met hoogste inkomen";"Actieven 15-75 jaar";"40% huishoudens met laagste inkomen";"20% huishoudens met hoogste inkomen";"Huishoudens met een laag inkomen";"Huish. onder of rond sociaal minimum"
"Wijken en buurten";"code";"aantal";"x 1 000 euro";"x 1 000 euro";"%";"%";"%";"%";"%";"%";"%"
"Vinkhuizen-Noord";"BU00140105";"5200";"17.2";"14.7";"65";"5";"37";"72";"3";"17";"15"
"Hoendiep";"BU00140106";"100";".";"21.7";".";".";".";".";".";".";"."
"Wijk 02 Oranjewijk";"WK001402";"18900";"22.3";"18.6";"54";"12";"45";"67";"8";"20";"16"
"Oranjebuurt";"BU00140200";"5400";"26.0";"22.5";"50";"19";"50";"65";"12";"16";"12"
"Concordiabuurt";"BU00140201";"1300";"20.4";"17.8";"56";"9";"49";"72";"4";"21";"15"
"Selwerd";"BU00140202";"4600";"18.7";"15.3";"59";"6";"39";"71";"4";"22";"18"
"Paddepoel-Zuid";"BU00140203";"3100";"22.9";"17.5";"51";"12";"44";"65";"9";"26";"21"
"Paddepoel-Noord";"BU00140204";"4200";"21.1";"18.3";"55";"9";"40";"68";"5";"16";"14"
"Noorderhoogebrug";"BU00140205";"200";"28.3";"21.8";"43";"22";"62";"33";"21";"11";"6"
"Universiteitscomplex";"BU00140206";"0";".";".";".";".";".";".";".";".";"."
"Koningslaagte";"BU00140207";"100";".";".";".";".";".";".";".";".";"."
"Wijk 03 Korrewegwijk";"WK001403";"14900";"18.7";"16.3";"63";"8";"40";"79";"4";"29";"22"
"West-Indische buurt";"BU00140300";"1400";"20.6";"17.2";"57";"7";"43";"77";"3";"35";"27"
"De Hoogte";"BU00140301";"2900";"19.1";"15.7";"59";"4";"43";"79";"3";"35";"27"
"Oost-Indische buurt";"BU00140302";"5500";"17.5";"15.3";"66";"7";"37";"81";"3";"31";"23"
"Korrewegbuurt";"BU00140303";"5000";"19.2";"17.6";"63";"11";"40";"76";"6";"16";"12"
"Wijk 04 Oosterparkwijk";"WK001404";"10200";"21.3";"18.5";"56";"10";"45";"75";"5";"26";"21"
"Gorechtbuurt";"BU00140400";"4700";"20.8";"18.8";"60";"12";"42";"76";"6";"21";"16"
"Oosterparkbuurt";"BU00140401";"1900";"20.2";"16.2";"57";"6";"44";"76";"3";"33";"27"
"Bloemenbuurt";"BU00140402";"1700";"20.7";"17.8";"54";"6";"48";"77";"3";"33";"27"
"Florabuurt";"BU00140403";"1200";"25.4";"21.9";"45";"14";"56";"64";"8";"19";"15"
