"Kerncijfers wijken en buurten 2014"
"Onderwerpen";"Regioaanduiding";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen"
"Onderwerpen";"Codering";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van personen";"Inkomen van huishoudens";"Inkomen van huishoudens";"Inkomen van huishoudens";"Inkomen van huishoudens"
"Onderwerpen";"Codering";"Aantal inkomensontvangers  ";"Gemiddeld inkomen per inkomensontvanger ";"Gemiddeld inkomen per inwoner ";"40% personen met laagste inkomen";"20% personen met hoogste inkomen";"Actieven 15-75 jaar";"40% huishoudens met laagste inkomen";"20% huishoudens met hoogste inkomen";"Huishoudens met een laag inkomen";"Huish. onder of rond sociaal minimum"
"Wijken en buurten";"code";"aantal";"x 1 000 euro";"x 1 000 euro";"%";"%";"%";"%";"%";"%";"%"
"Lithoijen";"BU08281900";"600";"29.0";"22.1";"42";"22";"58";"20";"35";"3";"2"
"Teeffelen";"BU08281901";"100";"38.6";"30.4";"33";"31";"64";".";".";".";"."
"Verspreide huizen Polder van Teeffelen";"BU08281908";"100";"25.1";"19.5";"50";"23";"65";".";".";".";"."
"Verspreide huizen Polder van Lithoijen";"BU08281909";"100";".";".";".";".";".";".";".";".";"."
"Wijk 20 Oijen";"WK082820";"900";"28.7";"23.0";"40";"19";"62";"28";"29";"5";"3"
"Oijen";"BU08282000";"600";"27.3";"21.7";"39";"16";"62";"33";"23";"5";"3"
"Verspreide huizen Polder Oijen";"BU08282009";"300";"31.5";"25.4";"42";"25";"63";"18";"43";"4";"3"
"Wijk 21 Maren - Kessel";"WK082821";"1100";"28.5";"22.5";"40";"19";"60";"33";"30";"6";"5"
"Maren-Kessel";"BU08282100";"500";"26.5";"21.3";"41";"17";"60";"36";"24";"5";"4"
"Maren";"BU08282101";"200";"31.0";"23.4";"34";"29";"55";".";".";".";"."
"Kessel";"BU08282102";"200";"29.9";"24.5";"36";"21";"62";"45";"23";"9";"7"
"'t Wild";"BU08282103";"100";".";"22.6";".";".";".";".";".";".";"."
"Verspr.h. Polder van het Laag Heemaal";"BU08282109";"100";"30.8";"23.2";"40";"17";"69";".";".";".";"."
"Rucphen";"GM0840";"17800";"26.6";"21.6";"44";"16";"57";"34";"22";"7";"5"
"Wijk 00 Rucphen";"WK084000";"3700";"28.5";"23.2";"41";"19";"59";"30";"26";"5";"4"
"Rucphen";"BU08400000";"2900";"28.1";"23.0";"42";"19";"58";"31";"24";"5";"4"
"Verspreide huizen Rucphen";"BU08400009";"700";"30.2";"24.2";"39";"22";"62";"25";"38";"7";"5"
"Wijk 01 Sint Willebrord";"WK084001";"7200";"25.4";"20.5";"47";"14";"54";"38";"17";"8";"7"
"Sint Willebrord";"BU08400100";"7000";"25.1";"20.3";"47";"14";"54";"38";"16";"8";"7"
"Verspreide huizen Sint Willebrord";"BU08400109";"200";"35.5";"27.3";"40";"31";"63";"20";"46";"5";"5"
"Wijk 02 Sprundel";"WK084002";"4100";"26.6";"21.7";"44";"16";"58";"33";"23";"6";"5"
"Sprundel";"BU08400200";"3000";"25.9";"21.3";"44";"14";"57";"35";"19";"6";"5"
"Bedrijventerrein De Nijverhei";"BU08400201";"200";"28.8";"21.4";"41";"25";"62";".";".";".";"."
"Verspreide huizen Sprundel";"BU08400209";"1000";"28.4";"22.7";"44";"18";"63";"26";"37";"5";"4"
"Wijk 03 Schijf";"WK084003";"1200";"27.4";"21.9";"41";"19";"65";"30";"28";"7";"6"
"Schijf";"BU08400300";"600";"26.4";"21.2";"39";"17";"67";"33";"20";"6";"5"
"Verspreide huizen Schijf";"BU08400309";"600";"28.6";"22.6";"43";"21";"63";"26";"37";"8";"7"
"Wijk 04 Zegge";"WK084004";"1600";"27.3";"22.7";"42";"17";"61";"33";"23";"5";"4"
"Zegge";"BU08400400";"1300";"26.9";"22.3";"41";"16";"61";"36";"21";"5";"4"
"Verspreide huizen Zegge";"BU08400409";"300";"29.2";"24.5";"44";"21";"62";"19";"35";"3";"3"
"Schijndel";"GM0844";"18000";"28.2";"22.2";"40";"18";"60";"33";"21";"7";"5"
"Wijk 00 West";"WK084400";"5400";"27.2";"21.3";"40";"16";"60";"34";"18";"8";"6"
"Boschweg Noordoost";"BU08440000";"1900";"26.1";"20.1";"40";"14";"60";"33";"15";"9";"6"
"Boschweg Zuidwest";"BU08440010";"1100";"25.4";"20.0";"44";"12";"53";"38";"13";"8";"6"
"Grevekeur";"BU08440020";"1200";"26.9";"21.0";"37";"16";"64";"33";"15";"7";"5"
"Molendijk";"BU08440030";"100";"28.9";"22.9";"36";"20";"63";".";".";".";"."
"Buitengebied Noordwest 1";"BU08440091";"800";"30.2";"24.3";"37";"18";"61";"36";"23";"9";"7"
"Buitengebied Noordwest 2";"BU08440092";"100";".";".";".";".";".";".";".";".";"."
"Buitengebied Zuidwest";"BU08440093";"300";"33.7";"25.7";"41";"26";"64";"21";"48";"9";"8"
"Wijk 01 Centrum";"WK084401";"4500";"29.8";"24.2";"39";"20";"60";"35";"24";"6";"5"
"Centrum 1";"BU08440101";"600";"24.2";"21.2";"46";"11";"54";"59";"8";"7";"7"
"Centrum 2";"BU08440102";"600";"26.7";"23.6";"44";"13";"52";"43";"14";"7";"6"
"Centrum 3";"BU08440103";"500";"26.8";"22.1";"44";"17";"59";"37";"23";"5";"5"
"Centrum 4";"BU08440104";"300";"36.4";"30.0";"31";"30";"60";"15";"34";"3";"2"
"De Borne 1";"BU08440111";"900";"31.9";"24.9";"33";"25";"64";"23";"25";"6";"5"
"De Borne 2";"BU08440112";"200";"33.8";"25.0";"29";"30";"72";".";".";".";"."
"De Borne 3";"BU08440113";"200";"26.3";"23.5";"37";"10";"42";"56";"10";"5";"3"
"Hopstraat";"BU08440120";"700";"31.9";"24.2";"35";"25";"65";"23";"34";"5";"3"
"Buitengebeid Zuid 1";"BU08440191";"200";"33.5";"26.4";"48";"23";"60";"33";"37";".";"."
"Buitengebied Zuid 2";"BU08440192";"300";"30.8";"24.1";"40";"20";"59";"24";"43";"7";"7"
"Wijk 02 Oost";"WK084402";"7100";"28.0";"21.8";"40";"18";"61";"33";"21";"7";"5"
"De Beemd 1";"BU08440201";"1400";"26.9";"21.6";"41";"15";"54";"30";"18";"6";"5"
"De Beemd 2";"BU08440202";"100";".";".";".";".";".";".";".";".";"."
"De Beemd 3";"BU08440203";"400";"25.1";"20.4";"42";"11";"60";"56";"12";"7";"7"
"Hoevenbraak";"BU08440210";"1700";"22.7";"18.5";"50";"9";"51";"45";"10";"9";"8"
"Plein 1";"BU08440221";"1100";"27.3";"21.2";"36";"19";"68";"36";"16";"7";"4"
"Plein 2";"BU08440222";"200";"35.0";"26.5";"43";"28";"55";"17";"46";".";"."
"Plein 3";"BU08440223";"600";"31.0";"22.6";"35";"23";"64";"15";"31";"3";"2"
"Hulzebraak";"BU08440230";"1100";"34.5";"24.7";"30";"29";"74";"20";"36";"6";"4"
"Rooiseheide";"BU08440240";"100";".";".";".";".";".";".";".";".";"."
"Duin 1";"BU08440251";"100";".";".";".";".";".";".";".";".";"."
"Duin 2";"BU08440252";"0";".";".";".";".";".";".";".";".";"."
"Duin Noord";"BU08440253";"0";".";".";".";".";".";".";".";".";"."
"Buitengebied Noordoost";"BU08440291";"300";"31.5";"24.2";"44";"26";"61";"20";"42";"7";"5"
"Buitengebied Zuidoost";"BU08440292";"100";".";".";".";".";".";".";".";".";"."
"Wijk 03 Wijbosch";"WK084403";"900";"28.5";"21.4";"41";"20";"65";"23";"28";"3";"2"
"Wijbosch";"BU08440300";"900";"28.5";"21.4";"41";"20";"65";"23";"28";"3";"2"
"Sint-Michielsgestel";"GM0845";"21400";"31.8";"24.6";"39";"22";"60";"28";"29";"6";"5"
"Wijk 00 Sint-Michielsgestel";"WK084500";"7900";"33.0";"25.5";"37";"23";"59";"29";"28";"6";"5"
"Sint-Michielsgestel";"BU08450000";"1800";"29.8";"23.5";"41";"19";"58";"35";"22";"7";"6"
"Theereheide";"BU08450001";"3100";"34.3";"26.2";"35";"25";"59";"25";"29";"4";"3"
"Venkant, Beekkant en Beekvliet";"BU08450002";"2200";"31.5";"24.5";"38";"22";"58";"32";"27";"8";"6"
"Halder";"BU08450003";"100";".";".";".";".";".";".";".";".";"."
"Verspr.h. Theereheide en Zegenwerp";"BU08450007";"100";"49.6";"38.3";"45";"27";"52";".";".";".";"."
"Verspreide huizen Genenberg";"BU08450008";"200";"43.7";"31.5";"29";"37";"65";"17";"50";"4";"3"
"Verspr.h. Sint-Michielsgestelse polders";"BU08450009";"300";"32.1";"24.6";"42";"26";"58";"35";"39";"7";"7"
"Wijk 01 Gemonde";"WK084501";"1700";"31.0";"23.4";"42";"23";"61";"25";"34";"7";"5"
"Gemonde";"BU08450100";"1100";"30.7";"22.9";"40";"21";"61";"26";"31";"7";"4"
"Verspreide huizen ten oosten van Gemonde";"BU08450108";"300";"34.5";"27.6";"42";"31";"62";"25";"46";"9";"8"
"Verspreide huizen ten westen van Gemonde";"BU08450109";"300";"28.4";"21.0";"48";"18";"59";"22";"36";"4";"5"
"Wijk 02 Den Dungen";"WK084502";"4500";"29.9";"23.5";"41";"20";"61";"29";"29";"5";"4"
"Den Dungen";"BU08450200";"2600";"29.1";"23.3";"42";"19";"59";"31";"27";"5";"4"
"Maaskantje";"BU08450201";"1200";"30.3";"23.3";"39";"21";"64";"25";"27";"4";"3"
"Verspreide huizen Spurk en 't Woud";"BU08450207";"400";"31.6";"24.3";"44";"22";"57";"27";"39";"8";"7"
"Verspreide huizen Poeldonk";"BU08450208";"200";"33.4";"27.1";"40";"22";"63";"31";"29";"8";"5"
"Verspreide huizen Maaskantje";"BU08450209";"100";".";"22.6";".";".";".";".";".";".";"."
"Wijk 03 Berlicum";"WK084503";"5800";"32.0";"24.6";"37";"23";"61";"29";"29";"6";"5"
"Berlicum";"BU08450300";"3200";"32.4";"24.9";"37";"24";"62";"30";"27";"5";"4"
"Westakkers";"BU08450301";"200";"35.5";"25.5";"36";"26";"61";"21";"42";"7";"3"
"Westerbroek en Beekveld";"BU08450302";"1700";"30.1";"23.4";"37";"21";"62";"26";"29";"7";"5"
"Verspreide huizen Beekveld-Hersend";"BU08450308";"100";".";"32.8";".";".";".";".";".";".";"."
"Verspr.h. ten noorden van Berlicum";"BU08450309";"600";"32.1";"24.4";"42";"24";"54";"33";"33";"12";"9"
"Wijk 04 Middelrode";"WK084504";"1500";"31.8";"24.0";"38";"22";"62";"24";"30";"5";"4"
"Middelrode";"BU08450400";"1100";"32.0";"23.6";"38";"22";"60";"24";"27";"5";"4"
"Verspreide huizen Middelrode";"BU08450408";"200";"29.5";"23.3";"40";"20";"70";"23";"39";"6";"6"
"Verspreide huizen Heikantse Hoeve";"BU08450409";"200";"33.5";"27.2";"41";"22";"66";".";".";".";"."
"Sint-Oedenrode";"GM0846";"14000";"28.5";"22.5";"41";"19";"61";"31";"25";"6";"5"
"Wijk 00 Sint-Oedenrode";"WK084600";"10100";"28.8";"22.8";"40";"19";"60";"32";"23";"6";"5"
"Sint-Oedenrode Centrum";"BU08460000";"2400";"26.1";"22.6";"47";"16";"53";"48";"14";"7";"7"
"Eerschot";"BU08460001";"1700";"28.9";"22.7";"40";"17";"61";"32";"21";"7";"5"
"Kienehoef en Armenhoef";"BU08460002";"2900";"29.8";"22.9";"37";"21";"60";"23";"24";"4";"4"
"Cathalijne-Kinderbos";"BU08460003";"1000";"30.4";"24.5";"39";"22";"60";"30";"26";"7";"5"
"Vogelenzang";"BU08460004";"700";"29.6";"22.3";"38";"22";"61";"22";"35";"5";"4"
"Everse en Koevering";"BU08460005";"400";"37.6";"24.5";"24";"33";"81";"14";"40";"3";"1"
"Sloef";"BU08460006";"100";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Rijsingen en Heide";"BU08460007";"200";"26.5";"20.5";"50";"17";"62";".";".";".";"."
"Verspr.h. Veerse Heide en Heikant";"BU08460008";"400";"26.4";"20.9";"42";"19";"64";"26";"38";"10";"8"
"Verspreide huizen Jekschot";"BU08460009";"100";"22.7";"17.1";"48";"12";"68";".";".";".";"."
"Wijk 01 Nijnsel";"WK084601";"1900";"27.1";"21.6";"43";"18";"61";"28";"29";"7";"5"
"Nijnsel";"BU08460100";"1100";"26.7";"20.9";"40";"17";"65";"30";"21";"5";"4"
"Verspr.h. Hoogstraat, Laar en Zandhoef";"BU08460107";"300";"26.9";"21.6";"48";"19";"59";"26";"41";"10";"7"
"Verspr.h. Vressel en Zwijnsbergen";"BU08460108";"300";"26.9";"22.9";"46";"16";"55";"27";"40";"10";"9"
"Verspreide huizen Vresselse Heide";"BU08460109";"200";"29.1";"23.4";"47";"20";"56";"26";"37";"5";"3"
"Wijk 02 Boskant";"WK084602";"1200";"27.1";"21.3";"41";"18";"62";"26";"29";"6";"5"
"Boskant";"BU08460200";"600";"26.9";"21.1";"39";"17";"62";"26";"25";"4";"4"
"Verspreide huizen Boskant";"BU08460209";"500";"27.4";"21.6";"44";"19";"62";"26";"34";"9";"7"
"Wijk 03 Olland";"WK084603";"800";"29.5";"22.6";"42";"22";"64";"24";"39";"6";"5"
"Olland";"BU08460300";"500";"30.7";"23.6";"38";"23";"65";"20";"38";"5";"3"
"Verspreide huizen Olland";"BU08460309";"400";"27.8";"21.2";"47";"20";"62";"29";"41";"8";"8"
"Someren";"GM0847";"14700";"26.5";"21.2";"43";"16";"61";"34";"22";"7";"5"
"Wijk 00 Someren";"WK084700";"9200";"26.3";"21.3";"44";"16";"59";"37";"20";"7";"5"
"Someren";"BU08470000";"8300";"26.3";"21.2";"43";"16";"59";"37";"19";"7";"5"
"Verspreide huizen Hoeven";"BU08470008";"300";"30.3";"23.4";"44";"20";"67";"29";"37";"6";"6"
"Verspreide huizen Slieven";"BU08470009";"600";"25.7";"21.9";"49";"16";"58";"38";"29";"10";"9"
"Wijk 01 Lierop";"WK084701";"1600";"28.7";"22.3";"40";"20";"63";"27";"30";"5";"4"
"Lierop";"BU08470100";"1100";"27.7";"21.9";"41";"19";"63";"28";"28";"4";"4"
"Verspreide huizen Meerven";"BU08470108";"200";"30.7";"22.9";"31";"22";"69";"23";"27";"3";"3"
"Verspreide huizen Hersel";"BU08470109";"300";"31.5";"23.7";"41";"21";"62";"26";"42";"9";"8"
"Wijk 02 Someren-Eind";"WK084702";"2700";"25.6";"20.3";"44";"15";"63";"34";"23";"7";"6"
"Someren-Eind";"BU08470200";"2100";"25.6";"20.2";"44";"14";"63";"37";"21";"6";"5"
"Verspreide huizen Sluis 12/13";"BU08470208";"100";"24.0";"20.3";"50";"17";"53";".";".";".";"."
"Verspreide huizen Diepenhoek";"BU08470209";"500";"26.4";"20.8";"43";"19";"67";"22";"36";"8";"7"
"Wijk 03 Somerense Heide";"WK084703";"1100";"26.6";"20.5";"43";"18";"64";"25";"32";"7";"5"
"Somerense Heide";"BU08470300";"500";"26.2";"20.0";"40";"18";"66";"25";"24";"6";"4"
"Verspreide huizen Somerense Heide";"BU08470309";"500";"27.1";"20.9";"46";"18";"63";"24";"40";"9";"7"
"Wijk 09";"WK084709";"100";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Lungendonk";"BU08470909";"100";".";".";".";".";".";".";".";".";"."
"Son en Breugel";"GM0848";"12300";"34.3";"26.4";"36";"27";"60";"25";"29";"6";"5"
"Wijk 00 Son";"WK084800";"8600";"36.4";"28.1";"34";"29";"60";"24";"32";"6";"5"
"Son";"BU08480000";"3800";"33.7";"28.1";"37";"25";"54";"31";"24";"6";"5"
"De Gentiaan";"BU08480001";"3200";"39.1";"28.9";"33";"34";"60";"15";"41";"4";"4"
"Industrieterrein Ekkersrijt";"BU08480002";"0";".";".";".";".";".";".";".";".";"."
"'t Zand";"BU08480003";"900";"42.8";"29.9";"32";"37";"68";"15";"49";"3";"3"
"Verspreide huizen Son";"BU08480009";"700";"30.5";"22.3";"30";"19";"75";"33";"20";"11";"8"
"Wijk 01 Breugel";"WK084801";"3700";"29.5";"22.4";"38";"20";"61";"26";"22";"7";"6"
"Breugel";"BU08480100";"800";"30.1";"24.0";"42";"20";"58";"31";"27";"4";"3"
"'t Eigen en Hoogstraat";"BU08480101";"2700";"29.7";"22.2";"36";"21";"62";"24";"20";"7";"6"
"Verspreide huizen Breugel";"BU08480109";"100";"22.9";"16.8";"54";"17";"47";".";".";".";"."
"Steenbergen";"GM0851";"18200";"29.2";"23.1";"40";"20";"60";"34";"22";"7";"6"
"Wijk 00 Steenbergen";"WK085100";"9800";"28.8";"23.0";"41";"20";"59";"36";"20";"7";"6"
"Steenbergen-Centrum";"BU08510000";"2900";"26.5";"22.1";"45";"16";"56";"47";"15";"8";"8"
"Welberg";"BU08510001";"1000";"28.6";"23.0";"43";"19";"67";"47";"19";"9";"6"
"Steenbergen-Zuid";"BU08510002";"3100";"27.7";"21.6";"39";"18";"57";"29";"18";"5";"4"
"Steenbergen-Noord";"BU08510003";"2000";"31.9";"24.5";"37";"25";"61";"27";"27";"8";"7"
"Industrieterrein Reinierpolder";"BU08510004";"0";".";".";".";".";".";".";".";".";"."
"Graaf Hendrik- en Triangelpolder";"BU08510007";"100";"33.3";"25.6";"33";"28";"66";".";".";".";"."
"Westelijke polders";"BU08510008";"400";"34.1";"28.2";"33";"31";"68";"26";"39";"7";"6"
"Het Oudland";"BU08510009";"200";"36.0";"30.1";"41";"31";"67";".";".";".";"."
"Wijk 01 Kruisland";"WK085101";"1900";"30.5";"24.0";"38";"22";"63";"29";"26";"4";"3"
"Kruisland";"BU08510100";"1400";"29.9";"23.6";"39";"20";"63";"31";"22";"4";"3"
"Kruislandse polders";"BU08510109";"500";"32.4";"25.5";"37";"27";"64";"23";"38";"4";"3"
"Wijk 02 De Heen";"WK085102";"400";"29.1";"22.6";"40";"22";"63";"27";"26";"8";"6"
"De Heen";"BU08510200";"300";"26.6";"20.4";"40";"19";"60";"30";"20";"7";"4"
"Heense polders";"BU08510209";"100";".";"30.9";".";".";".";".";".";".";"."
"Wijk 03 Dinteloord";"WK085103";"4200";"29.6";"23.0";"39";"21";"61";"34";"22";"7";"6"
"Dinteloord";"BU08510300";"3900";"28.9";"22.5";"40";"20";"60";"35";"20";"7";"6"
"Boompjesdijk";"BU08510301";"100";".";"22.4";".";".";".";".";".";".";"."
"Verspreide huizen in het Oosten";"BU08510308";"100";"36.4";"27.8";"29";"37";"71";".";".";".";"."
"Verspreide huizen in het Westen";"BU08510309";"100";"43.4";"32.7";"28";"33";"58";".";".";".";"."
"Wijk 04 Nieuw-Vossemeer";"WK085104";"1800";"28.7";"22.6";"40";"21";"59";"32";"22";"6";"5"
"Nieuw-Vossemeer";"BU08510400";"1500";"28.3";"22.4";"41";"21";"58";"32";"20";"6";"5"
"Verspr.h. waaronder Pelsendijk en Rolaf";"BU08510409";"200";"31.0";"23.9";"38";"22";"63";"28";"36";"8";"5"
"Waterland";"GM0852";"13300";"34.1";"26.9";"36";"26";"60";"28";"30";"6";"5"
"Wijk 00 Monnickendam";"WK085200";"7700";"32.1";"25.6";"36";"24";"59";"29";"28";"6";"5"
"Monnickendam";"BU08520000";"1600";"34.8";"27.1";"35";"27";"64";"31";"28";"7";"5"
"Oranjewijk";"BU08520001";"700";"27.2";"20.8";"39";"16";"60";"33";"14";"3";"4"
"Markgouw";"BU08520002";"1700";"25.8";"21.4";"42";"15";"52";"41";"14";"7";"6"
"Ringshemmen";"BU08520003";"1300";"33.0";"26.0";"33";"26";"56";"21";"33";"3";"3"
"Ooster Ee";"BU08520004";"800";"32.3";"25.9";"35";"27";"59";"28";"33";"10";"6"
"'t Spil";"BU08520005";"200";"32.0";"27.2";"44";"21";"62";".";".";".";"."
"Binnengouw";"BU08520006";"500";"35.9";"29.0";"32";"31";"67";"11";"48";"2";"1"
"Buitengouw";"BU08520007";"600";"42.3";"33.6";"33";"37";"63";"11";"56";"3";"2"
"Verspreide huizen";"BU08520009";"200";"31.0";"24.3";"36";"22";"61";".";".";".";"."
"De Purmer (gedeeltelijk)";"BU08520010";"100";"36.0";"27.7";"36";"27";"68";".";".";".";"."
"Wijk 01 Katwoude";"WK085201";"200";"34.8";"26.5";"41";"29";"60";".";".";".";"."
"Katwoude";"BU08520100";"200";"34.8";"26.5";"41";"29";"60";".";".";".";"."
"Wijk 02 Marken";"WK085202";"1400";"32.1";"25.5";"35";"24";"58";"29";"26";"4";"4"
"Havenbuurt en Kerkbuurt";"BU08520200";"1300";"32.2";"25.5";"34";"24";"58";"29";"26";"4";"4"
"Verspr.h. Op de Werven ten Z. van kanaal";"BU08520201";"100";"31.2";"25.9";"40";"22";"59";".";".";".";"."
"Wijk 03 Broek in Waterland";"WK085203";"2200";"41.2";"30.7";"32";"32";"62";"26";"37";"6";"5"
"Broek in Waterland";"BU08520300";"1900";"40.0";"29.8";"33";"31";"62";"28";"35";"5";"5"
"Zuiderwoude";"BU08520301";"200";"49.3";"37.6";"33";"33";"64";"18";"54";"8";"6"
"Uitdam";"BU08520302";"100";".";"33.9";".";".";".";".";".";".";"."
"Wijk 04 Ilpendam";"WK085204";"1400";"34.0";"27.2";"38";"27";"61";"29";"35";"6";"6"
"Ilpendam";"BU08520400";"1400";"34.2";"27.4";"38";"27";"61";"29";"35";"6";"6"
"De Purmer (gedeeltelijk)";"BU08520401";"0";".";".";".";".";".";".";".";".";"."
"Wijk 05 Watergang";"WK085205";"300";"42.5";"33.7";"34";"31";"63";"25";"35";"6";"5"
"Watergang";"BU08520500";"300";"42.5";"33.7";"34";"31";"63";"25";"35";"6";"5"
"Tilburg";"GM0855";"162100";"26.7";"21.2";"44";"17";"56";"49";"15";"13";"10"
"Wijk 00 Centrum";"WK085500";"5900";"23.7";"22.3";"53";"14";"47";"69";"7";"15";"12"
"Centrum";"BU08550000";"5900";"23.7";"22.3";"53";"14";"47";"69";"7";"15";"12"
"Wijk 01 Oud-Zuid";"WK085501";"32600";"24.5";"20.6";"47";"14";"54";"60";"10";"15";"11"
"Tivoli";"BU08550100";"4000";"30.0";"25.1";"41";"23";"58";"49";"19";"10";"8"
"Armhoef";"BU08550101";"1800";"34.0";"26.1";"30";"31";"68";"29";"31";"4";"3"
"Jeruzalem";"BU08550102";"600";"18.5";"14.0";"58";"4";"43";"73";"2";"34";"26"
"Hoevenseweg";"BU08550103";"200";"27.8";"22.9";"40";"17";"53";"46";"20";"7";"6"
"Broekhoven";"BU08550104";"5800";"23.4";"19.2";"48";"12";"53";"59";"8";"17";"13"
"Oude Dijk";"BU08550105";"1000";"25.2";"23.5";"46";"17";"54";"59";"7";"10";"9"
"Trouwlaan";"BU08550106";"3800";"20.8";"17.5";"53";"8";"50";"67";"5";"16";"12"
"Korvel";"BU08550107";"9900";"21.8";"18.3";"50";"9";"53";"67";"5";"19";"15"
"Rooi Harten";"BU08550108";"1000";"26.8";"23.5";"44";"18";"52";"54";"13";"9";"6"
"Hagelkruis";"BU08550109";"4600";"26.4";"23.3";"47";"18";"52";"58";"12";"8";"7"
"Wijk 02 Oud-Noord";"WK085502";"27000";"23.4";"19.6";"47";"12";"56";"59";"8";"15";"11"
"Besterd";"BU08550200";"2600";"23.6";"19.6";"49";"14";"54";"61";"10";"15";"11"
"Gasthuisstraat";"BU08550201";"4800";"24.0";"20.3";"47";"13";"56";"59";"9";"13";"11"
"De Hasselt";"BU08550202";"4700";"22.4";"17.8";"48";"9";"54";"58";"7";"20";"15"
"Het Goirke";"BU08550203";"4100";"23.3";"19.9";"47";"12";"56";"60";"8";"15";"11"
"Groeseind";"BU08550204";"700";"26.0";"22.0";"39";"15";"59";"50";"9";"8";"5"
"Hoefstraat";"BU08550205";"4300";"23.9";"19.9";"46";"11";"60";"58";"8";"13";"9"
"Koestraat";"BU08550206";"1700";"21.8";"19.0";"51";"10";"55";"68";"7";"14";"10"
"Loven";"BU08550207";"3300";"23.5";"19.9";"48";"13";"54";"60";"9";"14";"11"
"Industriestrook GoirkeKanaaldijk";"BU08550208";"100";"27.7";"23.7";"48";"18";"60";".";".";".";"."
"Industriestrook LovenseKanaaldijk";"BU08550209";"600";"22.8";"18.8";"49";"11";"53";"61";"10";"18";"13"
"Wijk 03 West";"WK085503";"22900";"24.9";"20.1";"47";"13";"50";"58";"11";"16";"13"
"Zorgvlied";"BU08550300";"2900";"35.0";"27.2";"38";"27";"53";"39";"28";"11";"9"
"De Reit";"BU08550301";"4500";"25.7";"21.7";"47";"15";"51";"62";"11";"14";"10"
"TweeSteden Ziekenhuis - De Rooi Pannen";"BU08550302";"500";"28.5";"24.7";"41";"18";"58";"44";"13";"12";"11"
"Het Zand";"BU08550303";"8800";"21.8";"17.9";"50";"9";"49";"63";"6";"17";"14"
"Wandelbos-Noord";"BU08550304";"4300";"19.8";"14.7";"54";"5";"44";"64";"5";"22";"18"
"De Oude Warande";"BU08550305";"0";".";".";".";".";".";".";".";".";"."
"Wandelbos-Zuid";"BU08550306";"1800";"33.2";"27.7";"35";"24";"54";"38";"21";"6";"6"
"Wijk 04 Noord";"WK085504";"17200";"23.0";"17.6";"48";"10";"48";"52";"9";"18";"14"
"Industrieterrein Vossenberg";"BU08550400";"100";".";"24.0";".";".";".";".";".";".";"."
"Industrieterrein Kraaiven";"BU08550401";"0";".";".";".";".";".";".";".";".";"."
"Stokhasselt-Noord";"BU08550402";"4800";"20.2";"14.2";"54";"7";"44";"60";"6";"28";"22"
"Vlashof";"BU08550403";"3300";"19.9";"14.5";"54";"6";"44";"57";"6";"24";"18"
"De Schans";"BU08550404";"2900";"22.6";"18.3";"49";"10";"49";"56";"8";"14";"12"
"De Lijnse Hoek";"BU08550405";"2400";"24.3";"21.0";"43";"11";"48";"52";"8";"9";"8"
"Quirijnstok";"BU08550406";"3200";"27.5";"22.2";"38";"18";"55";"37";"17";"10";"7"
"Stokhasselt-Zuid";"BU08550407";"300";"37.7";"31.6";"33";"33";"56";"18";"38";"9";"7"
"Buitengebied Noordoost";"BU08550408";"200";"27.7";"22.6";"49";"18";"57";".";".";".";"."
"Buitengebied Noordwest";"BU08550409";"0";".";".";".";".";".";".";".";".";"."
"Wijk 05 Oost";"WK085505";"600";"31.3";"26.1";"40";"21";"60";"32";"26";"11";"8"
"Industrieterrein-Oost";"BU08550500";"0";".";".";".";".";".";".";".";".";"."
"Industrieterrein Loven";"BU08550501";"400";"27.6";"22.7";"42";"17";"59";"35";"18";"13";"9"
"Bosscheweg";"BU08550502";"200";"41.4";"34.9";"29";"32";"63";".";".";".";"."
"Moerenburg";"BU08550503";"100";".";".";".";".";".";".";".";".";"."
"Wijk 06 Zuid";"WK085506";"11100";"30.6";"24.0";"42";"21";"55";"40";"23";"13";"10"
"Koningshoeven";"BU08550600";"100";".";"26.4";".";".";".";".";".";".";"."
"Groenewoud";"BU08550601";"5800";"22.0";"17.1";"51";"9";"50";"57";"8";"20";"16"
"Het Laar";"BU08550602";"100";"59.0";"41.5";"29";"42";"62";".";".";".";"."
"De Blaak";"BU08550603";"4800";"40.0";"31.8";"31";"35";"60";"15";"44";"4";"3"
"Katsbogten - Bakerland";"BU08550604";"100";".";"17.8";".";".";".";".";".";".";"."
"Buitengebied Zuidwest";"BU08550609";"200";"33.9";"27.7";"39";"27";"62";"31";"46";".";"."
"Wijk 07 Berkel-Enschot";"WK085507";"8100";"34.6";"26.2";"35";"27";"60";"22";"34";"5";"4"
"Berkel";"BU08550700";"1600";"30.0";"23.8";"36";"21";"62";"29";"23";"6";"5"
"Enschot";"BU08550701";"2800";"36.1";"27.1";"35";"29";"61";"22";"37";"4";"4"
"Eikenbosch";"BU08550702";"1000";"32.9";"25.8";"34";"27";"56";"25";"29";"4";"3"
