"Kerncijfers wijken en buurten 2014"
"Onderwerpen";"Regioaanduiding";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen"
"Hoornes-Oost";"BU05370104";"1059";"176";"27";"73";".";".";"27";"73";".";".";"0"
"Wijk 02 't Heen";"WK053702";"9";".";".";".";".";".";".";".";".";".";"."
"'t Heen-Zuid";"BU05370201";"4";".";".";".";".";".";".";".";".";".";"."
"'t Heen-Noord";"BU05370202";"5";".";".";".";".";".";".";".";".";".";"."
"Wijk 03 Katwijk aan den Rijn";"WK053703";"2407";"253";"63";"37";".";".";"56";"44";".";".";"0"
"Dorp";"BU05370301";"1110";"290";"85";"15";".";".";"75";"25";".";".";"0"
"'t Sandt";"BU05370302";"226";"271";"43";"57";".";".";"68";"32";".";".";"0"
"Molenwijk";"BU05370303";"1071";"213";"45";"55";".";".";"34";"66";".";".";"0"
"Wijk 04 Katwijk Midden";"WK053704";"2759";"223";"41";"59";".";".";"42";"58";".";".";"0"
"Witte Hek";"BU05370401";"771";"225";"51";"49";".";".";"52";"48";".";".";"0"
"Cleijn Duin";"BU05370402";"552";"205";"28";"72";".";".";"21";"79";".";".";"0"
"Overduin";"BU05370403";"824";"236";"37";"63";".";".";"50";"50";".";".";"0"
"Koestal";"BU05370404";"612";"218";"46";"54";".";".";"39";"61";".";".";"0"
"Wijk 05 Katwijk aan Zee";"WK053705";"5582";"258";"60";"40";".";".";"70";"28";".";".";"1"
"Strand";"BU05370501";"1";".";".";".";".";".";".";".";".";".";"."
"De Noord";"BU05370502";"1395";"251";"67";"33";".";".";"73";"27";".";".";"0"
"Noord-Oost";"BU05370503";"590";"252";"34";"66";".";".";"81";"19";".";".";"0"
"Centrum";"BU05370504";"560";"268";"46";"54";".";".";"70";"29";".";".";"1"
"Midden";"BU05370505";"1329";"254";"64";"36";".";".";"80";"20";".";".";"0"
"Zuid-West";"BU05370506";"358";"350";"17";"83";".";".";"38";"44";".";".";"18"
"Zuid-Oost";"BU05370507";"1349";"256";"76";"24";".";".";"62";"38";".";".";"0"
"Wijk 06 Landelijk gebied Katwijk";"WK053706";"1065";"293";"80";"20";".";".";"75";"25";".";".";"0"
"Noordduinen";"BU05370601";"3";".";".";".";".";".";".";".";".";".";"."
"Zuidduinen";"BU05370602";"14";".";".";".";".";".";".";".";".";".";"."
"Zanderij Westerbaan";"BU05370603";"1032";"292";"80";"20";".";".";"75";"25";".";".";"0"
"De Mient en Kooltuin";"BU05370604";"16";".";".";".";".";".";".";".";".";".";"."
"Wijk 07 Rijnsburg";"WK053707";"5685";"268";"73";"27";".";".";"66";"33";".";".";"0"
"Rijnsburg";"BU05370700";"3186";"242";"64";"36";".";".";"57";"42";".";".";"0"
"Valkenburgerweg";"BU05370701";"2242";"285";"82";"18";".";".";"77";"23";".";".";"0"
"Polder Kamphuizen";"BU05370708";"78";"463";"94";"6";".";".";"86";"14";".";".";"0"
"Verspreide huizen Rijnsburg";"BU05370709";"179";"535";"99";"1";".";".";"89";"11";".";".";"0"
"Wijk 08 Valkenburg";"WK053708";"1784";"269";"74";"26";".";".";"74";"26";".";".";"0"
"Valkenburg";"BU05370800";"1443";"251";"75";"25";".";".";"76";"24";".";".";"0"
"Verspreide huizen Ommedijkse Polder";"BU05370808";"27";".";"96";"4";".";".";"96";"4";".";".";"0"
"Overige verspreide huizen Valkenburg";"BU05370809";"314";"348";"71";"29";".";".";"66";"34";".";".";"0"
"Krimpen aan den IJssel";"GM0542";"12329";"218";"72";"28";".";".";"58";"41";".";".";"1"
"Wijk 00 Krimpen aan den IJssel";"WK054200";"12329";"218";"72";"28";".";".";"58";"41";".";".";"1"
"Oud Krimpen";"BU05420000";"810";"228";"90";"10";".";".";"84";"16";".";".";"0"
"Kortland-Noord";"BU05420001";"3144";"196";"58";"42";".";".";"54";"46";".";".";"0"
"Kortland-Zuid";"BU05420002";"2765";"204";"70";"30";".";".";"54";"46";".";".";"0"
"Boveneind";"BU05420003";"1773";"241";"76";"24";".";".";"52";"42";".";".";"6"
"Langeland";"BU05420004";"2854";"223";"88";"12";".";".";"59";"41";".";".";"0"
"Lansingh-Zuid";"BU05420005";"983";"267";"54";"46";".";".";"69";"31";".";".";"0"
"Leerdam";"GM0545";"8686";"211";"72";"28";".";".";"51";"49";".";".";"0"
"Wijk 00 Leerdam";"WK054500";"8686";"211";"72";"28";".";".";"51";"49";".";".";"0"
"Leerdam-Centrum";"BU05450001";"1137";"181";"32";"68";".";".";"59";"40";".";".";"1"
"Leerdam-West";"BU05450002";"2649";"155";"66";"34";".";".";"21";"79";".";".";"0"
"Leerdam-Oost";"BU05450003";"1233";"243";"74";"26";".";".";"71";"29";".";".";"0"
"Leerdam-Noord";"BU05450004";"2291";"219";"85";"15";".";".";"55";"45";".";".";"0"
"Verspreide huizen Leerdam";"BU05450005";"335";"389";"83";"17";".";".";"85";"15";".";".";"0"
"Kedichem";"BU05450006";"443";"298";"93";"7";".";".";"75";"25";".";".";"0"
"Schoonrewoerd";"BU05450007";"598";"270";"92";"8";".";".";"69";"31";".";".";"0"
"Leiden";"GM0546";"55202";"210";"44";"56";".";".";"46";"53";".";".";"1"
"Wijk 00 Binnenstad-Zuid";"WK054600";"3715";"245";"32";"68";".";".";"36";"63";".";".";"1"
"Pieterswijk";"BU05460000";"1033";"248";"32";"68";".";".";"38";"61";".";".";"1"
"Academiewijk";"BU05460001";"787";"250";"33";"67";".";".";"32";"68";".";".";"0"
"Levendaal-West";"BU05460002";"549";"251";"30";"70";".";".";"40";"60";".";".";"0"
"Levendaal-Oost";"BU05460003";"1346";"236";"32";"68";".";".";"35";"63";".";".";"2"
"Wijk 01 Binnenstad-Noord";"WK054601";"7193";"209";"34";"66";".";".";"33";"67";".";".";"1"
"De Camp";"BU05460100";"512";"201";"28";"72";".";".";"23";"73";".";".";"4"
"Marewijk";"BU05460101";"1250";"219";"30";"70";".";".";"29";"70";".";".";"0"
"Pancras-West";"BU05460102";"518";"227";"26";"74";".";".";"37";"62";".";".";"1"
"Pancras-Oost";"BU05460103";"1057";"185";"32";"68";".";".";"28";"72";".";".";"1"
"D'Oude Morsch";"BU05460104";"400";"194";"31";"69";".";".";"38";"62";".";".";"0"
"Noordvest";"BU05460105";"890";"203";"21";"79";".";".";"36";"64";".";".";"0"
"Havenwijk-Noord";"BU05460106";"280";"232";"40";"60";".";".";"31";"69";".";".";"0"
"Havenwijk-Zuid";"BU05460107";"1073";"240";"18";"82";".";".";"20";"80";".";".";"0"
"Molenbuurt";"BU05460108";"229";"225";"19";"81";".";".";"62";"37";".";".";"1"
"De Waard";"BU05460109";"984";"199";"79";"21";".";".";"47";"52";".";".";"0"
"Wijk 02 Stationsdistrict";"WK054602";"1022";"184";"30";"70";".";".";"52";"47";".";".";"0"
"Stationskwartier";"BU05460200";"1022";"184";"30";"70";".";".";"52";"47";".";".";"0"
"Wijk 03 Leiden-Noord";"WK054603";"6426";"160";"43";"57";".";".";"32";"66";".";".";"2"
"Groenoord";"BU05460300";"1038";"227";"58";"42";".";".";"65";"34";".";".";"0"
"Noorderkwartier";"BU05460301";"2443";"151";"46";"54";".";".";"27";"70";".";".";"3"
"De Kooi";"BU05460302";"2945";"146";"35";"65";".";".";"25";"74";".";".";"1"
"Wijk 04 Roodenburgerdistrict";"WK054604";"8984";"264";"55";"45";".";".";"62";"38";".";".";"0"
"Meerburg";"BU05460400";"1054";"183";"36";"64";".";".";"41";"59";".";".";"1"
"Rijndijkbuurt";"BU05460401";"1046";"255";"64";"36";".";".";"60";"40";".";".";"1"
"Professorenwijk-Oost";"BU05460402";"687";"223";"29";"71";".";".";"82";"18";".";".";"0"
"Burgemeesterswijk";"BU05460403";"716";"429";"78";"22";".";".";"89";"11";".";".";"0"
"Professorenwijk-West";"BU05460404";"1332";"269";"59";"41";".";".";"66";"34";".";".";"0"
"Tuinstadwijk";"BU05460405";"1748";"221";"64";"36";".";".";"50";"50";".";".";"0"
"Cronestein";"BU05460406";"820";"181";"40";"60";".";".";"45";"55";".";".";"0"
"Klein Cronestein";"BU05460407";"5";".";".";".";".";".";".";".";".";".";"."
"Roomburg";"BU05460408";"1112";"331";"54";"46";".";".";"70";"30";".";".";"0"
"Waardeiland";"BU05460409";"464";"413";"72";"28";".";".";"92";"8";".";".";"0"
"Wijk 05 Bos- en Gasthuisdistrict";"WK054605";"9539";"187";"30";"70";".";".";"45";"55";".";".";"0"
"Vreewijk";"BU05460500";"797";"383";"64";"36";".";".";"77";"20";".";".";"3"
"Haagweg-Noord";"BU05460501";"733";"212";"60";"40";".";".";"54";"45";".";".";"0"
"Gasthuiswijk";"BU05460502";"1481";"159";"17";"83";".";".";"29";"71";".";".";"0"
"Fortuinwijk-Noord";"BU05460503";"2032";"138";"13";"87";".";".";"41";"59";".";".";"0"
"Boshuizen";"BU05460504";"1745";"181";"31";"69";".";".";"48";"52";".";".";"0"
"Oostvliet";"BU05460505";"134";"372";"81";"19";".";".";"75";"25";".";".";"0"
"Haagweg-Zuid";"BU05460506";"1547";"166";"31";"69";".";".";"26";"74";".";".";"0"
"Fortuinwijk-Zuid";"BU05460507";"1070";"170";"23";"77";".";".";"60";"38";".";".";"2"
"Wijk 06 Morsdistrict";"WK054606";"5372";"181";"36";"64";".";".";"40";"59";".";".";"1"
"Transvaalbuurt";"BU05460600";"890";"175";"35";"65";".";".";"43";"56";".";".";"0"
"Lage Mors";"BU05460601";"2098";"182";"44";"56";".";".";"40";"60";".";".";"0"
"Hoge Mors";"BU05460602";"2384";"183";"28";"72";".";".";"38";"60";".";".";"2"
"Wijk 07 Boerhaavedistrict";"WK054607";"2215";"219";"35";"65";".";".";"43";"57";".";".";"0"
"Pesthuiswijk";"BU05460700";"642";"102";"5";"95";".";".";"10";"90";".";".";"0"
"Houtkwartier";"BU05460701";"504";"216";"27";"73";".";".";"55";"45";".";".";"0"
"Raadsherenbuurt";"BU05460702";"341";"382";"84";"16";".";".";"84";"16";".";".";"0"
"Vogelwijk";"BU05460703";"728";"376";"43";"57";".";".";"44";"56";".";".";"0"
"Leeuwenhoek";"BU05460704";"0";".";".";".";".";".";".";".";".";".";"."
"Wijk 08 Merenwijkdistrict";"WK054608";"6078";"220";"60";"40";".";".";"59";"40";".";".";"0"
"Slaaghwijk";"BU05460800";"1769";"142";"19";"81";".";".";"28";"72";".";".";"0"
"Zijlwijk-Zuid";"BU05460801";"971";"325";"100";"0";".";".";"95";"5";".";".";"0"
"Zijlwijk-Noord";"BU05460802";"1058";"260";"93";"7";".";".";"82";"18";".";".";"0"
"Merenwijk-Centrum";"BU05460803";"788";"136";"0";"100";".";".";"24";"76";".";".";"0"
"Leedewijk-Zuid";"BU05460804";"355";"245";"100";"0";".";".";"81";"19";".";".";"0"
"Leedewijk-Noord";"BU05460805";"1137";"264";"88";"12";".";".";"75";"25";".";".";"0"
"Wijk 09 Stevenshofdistrict";"WK054609";"4658";"214";"74";"26";".";".";"56";"44";".";".";"0"
"Schenkwijk";"BU05460900";"796";"217";"90";"10";".";".";"61";"39";".";".";"0"
"Kloosterhof";"BU05460901";"1188";"204";"79";"21";".";".";"55";"45";".";".";"0"
"Dobbewijk-Noord";"BU05460902";"747";"187";"41";"59";".";".";"39";"61";".";".";"0"
"Dobbewijk-Zuid";"BU05460903";"1927";"230";"77";"23";".";".";"61";"39";".";".";"0"
"Leiderdorp";"GM0547";"11891";"239";"60";"40";".";".";"62";"38";".";".";"0"
"Wijk 00";"WK054700";"6991";"220";"51";"49";".";".";"55";"45";".";".";"0"
"Kerkwijk";"BU05470000";"708";"309";"94";"6";".";".";"86";"14";".";".";"0"
"Ouderzorg inclusief De Houtkamp";"BU05470001";"1518";"221";"52";"48";".";".";"70";"30";".";".";"0"
"Zijlkwartier";"BU05470002";"488";"213";"51";"49";".";".";"55";"44";".";".";"1"
"De Vogelwijk";"BU05470003";"1022";"201";"37";"63";".";".";"51";"49";".";".";"0"
"De Baanderij";"BU05470004";"136";"143";"3";"97";".";".";"4";"93";".";".";"2"
"De Schansen";"BU05470005";"766";"159";"0";"100";".";".";"15";"85";".";".";"1"
"Winkelhof";"BU05470006";"285";"210";"55";"45";".";".";"86";"14";".";".";"0"
"Binnenhof";"BU05470007";"643";"248";"69";"31";".";".";"61";"39";".";".";"0"
"Voorhof";"BU05470008";"1381";"217";"63";"37";".";".";"44";"56";".";".";"0"
"Elizabethhof";"BU05470009";"44";".";"91";"9";".";".";"89";"11";".";".";"0"
"Wijk 01";"WK054701";"1550";"297";"77";"23";".";".";"78";"22";".";".";"0"
"Oranjewijk";"BU05470100";"691";"237";"84";"16";".";".";"92";"8";".";".";"0"
"Doeskwartier";"BU05470101";"407";"249";"79";"21";".";".";"61";"39";".";".";"0"
"Verspreide huizen";"BU05470109";"452";"436";"65";"35";".";".";"73";"27";".";".";"0"
"Wijk 02";"WK054702";"3350";"251";"71";"29";".";".";"69";"31";".";".";"0"
"Buitenhof-Oost-Zuid";"BU05470200";"1019";"201";"50";"50";".";".";"43";"57";".";".";"0"
"Buitenhof-Midden-West";"BU05470201";"1335";"254";"83";"17";".";".";"84";"16";".";".";"0"
"Leyhof";"BU05470202";"996";"299";"76";"24";".";".";"74";"26";".";".";"0"
"Lisse";"GM0553";"9782";"251";"69";"31";".";".";"63";"37";".";".";"0"
"Wijk 01 De Loosters";"WK055301";"126";"391";"83";"17";".";".";"75";"25";".";".";"0"
"De Loosters";"BU05530100";"126";"391";"83";"17";".";".";"75";"25";".";".";"0"
"Wijk 02 Halfweg";"WK055302";"34";".";"97";"3";".";".";"97";"3";".";".";"0"
"Halfweg";"BU05530200";"34";".";"97";"3";".";".";"97";"3";".";".";"0"
"Wijk 03 Meer en Duin";"WK055303";"33";".";"27";"73";".";".";"79";"21";".";".";"0"
"Meer en Duin";"BU05530300";"33";".";"27";"73";".";".";"79";"21";".";".";"0"
"Wijk 04 De Blinkerd";"WK055304";"685";"263";"77";"23";".";".";"74";"26";".";".";"0"
"De Blinkerd";"BU05530400";"685";"263";"77";"23";".";".";"74";"26";".";".";"0"
"Wijk 05 Meerenburgh";"WK055305";"652";"223";"70";"30";".";".";"54";"46";".";".";"0"
"Meerenburgh";"BU05530500";"652";"223";"70";"30";".";".";"54";"46";".";".";"0"
"Wijk 06 Oranjewijk";"WK055306";"874";"216";"64";"36";".";".";"67";"33";".";".";"0"
"Oranjewijk";"BU05530600";"874";"216";"64";"36";".";".";"67";"33";".";".";"0"
"Wijk 07 Zeeheldenwijk";"WK055307";"603";"210";"69";"31";".";".";"47";"53";".";".";"0"
"Zeeheldenwijk";"BU05530700";"603";"210";"69";"31";".";".";"47";"53";".";".";"0"
"Wijk 08 Bloemenwijk";"WK055308";"724";"299";"80";"20";".";".";"65";"35";".";".";"0"
"Bloemenwijk";"BU05530800";"724";"299";"80";"20";".";".";"65";"35";".";".";"0"
"Wijk 09 Centrum";"WK055309";"1291";"221";"49";"51";".";".";"64";"36";".";".";"0"
"Centrum";"BU05530900";"1291";"221";"49";"51";".";".";"64";"36";".";".";"0"
"Wijk 10 Berkhout";"WK055310";"846";"260";"50";"50";".";".";"50";"50";".";".";"0"
"Berkhout";"BU05531000";"846";"260";"50";"50";".";".";"50";"50";".";".";"0"
"Wijk 11 Van Rijckevorsel";"WK055311";"265";"502";"80";"20";".";".";"77";"23";".";".";"0"
"Van Rijckevorsel";"BU05531100";"265";"502";"80";"20";".";".";"77";"23";".";".";"0"
"Wijk 12 Componistenwijk";"WK055312";"581";"233";"85";"15";".";".";"60";"40";".";".";"0"
"Componistenwijk";"BU05531200";"581";"233";"85";"15";".";".";"60";"40";".";".";"0"
"Wijk 13 Schilderswijk";"WK055313";"781";"212";"52";"48";".";".";"49";"51";".";".";"0"
"Schilderswijk";"BU05531300";"781";"212";"52";"48";".";".";"49";"51";".";".";"0"
"Wijk 14 Vogelwijk";"WK055314";"778";"216";"74";"26";".";".";"44";"56";".";".";"0"
"Vogelwijk";"BU05531400";"778";"216";"74";"26";".";".";"44";"56";".";".";"0"
"Wijk 15 Dever";"WK055315";"35";".";"97";"3";".";".";"97";"3";".";".";"0"
"Dever";"BU05531500";"35";".";"97";"3";".";".";"97";"3";".";".";"0"
"Wijk 16 Geestwater";"WK055316";"24";".";"100";"0";".";".";"100";"0";".";".";"0"
"Geestwater";"BU05531600";"24";".";"100";"0";".";".";"100";"0";".";".";"0"
"Wijk 17 Vrouwenpolder";"WK055317";"525";"278";"100";"0";".";".";"90";"10";".";".";"0"
"Vrouwenpolder";"BU05531700";"525";"278";"100";"0";".";".";"90";"10";".";".";"0"
"Wijk 18 Lisse Rond";"WK055318";"449";"274";"78";"22";".";".";"98";"2";".";".";"0"
"Lisse Rond";"BU05531800";"449";"274";"78";"22";".";".";"98";"2";".";".";"0"
"Wijk 19 De Engel";"WK055319";"204";"190";"89";"11";".";".";"15";"85";".";".";"0"
"De Engel";"BU05531900";"204";"190";"89";"11";".";".";"15";"85";".";".";"0"
"Wijk 20 Ter Beek";"WK055320";"195";"286";"97";"3";".";".";"88";"12";".";".";"0"
"Ter Beek";"BU05532000";"195";"286";"97";"3";".";".";"88";"12";".";".";"0"
"Wijk 21 Roovers Broek";"WK055321";"77";"467";"91";"9";".";".";"86";"14";".";".";"0"
"Roovers Broek";"BU05532100";"77";"467";"91";"9";".";".";"86";"14";".";".";"0"
"Maassluis";"GM0556";"14805";"187";"49";"51";".";".";"49";"49";".";".";"1"
"Wijk 01 Taanschuurpolder";"WK055601";"1088";"190";"62";"38";".";".";"65";"35";".";".";"0"
"Taanschuurpolder";"BU05560101";"1088";"190";"62";"38";".";".";"65";"35";".";".";"0"
"Wijk 02 Dijkpolder";"WK055602";"2541";"184";"50";"50";".";".";"33";"67";".";".";"1"
"Vertobuurt";"BU05560201";"1179";"196";"66";"34";".";".";"39";"60";".";".";"1"
"Bloemenbuurt";"BU05560202";"487";"145";"12";"88";".";".";"16";"84";".";".";"0"
"Bomendal";"BU05560203";"875";"189";"50";"50";".";".";"34";"66";".";".";"0"
"Sluispolder";"WK055603";"3336";"159";"34";"66";".";".";"41";"55";".";".";"3"
"Sluispolder Oost";"BU05560301";"1635";"172";"33";"67";".";".";"52";"48";".";".";"0"
"Sluispolder West";"BU05560302";"1075";"146";"28";"72";".";".";"36";"53";".";".";"11"
"Binnenstad";"BU05560303";"626";"142";"47";"53";".";".";"22";"78";".";".";"0"
"Wijk 04 Kapelpolder";"WK055604";"2986";"188";"41";"59";".";".";"43";"55";".";".";"2"
"Kapelpolder";"BU05560401";"555";"181";"75";"25";".";".";"44";"56";".";".";"0"
"Componistenbuurt";"BU05560402";"1047";"169";"11";"89";".";".";"25";"73";".";".";"2"
"Koningshoek";"BU05560403";"936";"171";"43";"57";".";".";"50";"46";".";".";"5"
"Het Balkon";"BU05560404";"421";"278";"68";"32";".";".";"69";"31";".";".";"0"
"Nieuwe waterweg";"BU05560405";"27";".";"0";"100";".";".";"89";"11";".";".";"0"
"Wijk 05 Burgemeesterswijk";"WK055605";"2744";"196";"42";"58";".";".";"54";"45";".";".";"1"
"Vogelbuurt";"BU05560501";"1714";"190";"50";"50";".";".";"71";"28";".";".";"1"
"Burgemeesterswijk";"BU05560502";"1030";"207";"30";"70";".";".";"26";"73";".";".";"1"
"Wijk 06 Steendijkpolder";"WK055606";"2014";"208";"83";"17";".";".";"77";"23";".";".";"0"
"Steendijkpolder Noord";"BU05560601";"844";"216";"92";"8";".";".";"82";"18";".";".";"0"
"Steendijkpolder Zuid";"BU05560602";"1170";"203";"76";"24";".";".";"72";"28";".";".";"0"
"Wijk 07 Aalkeetpolder";"WK055607";"53";".";"94";"6";".";".";"92";"6";".";".";"2"
"Zuidbuurt";"BU05560701";"49";".";"96";"4";".";".";"94";"4";".";".";"2"
"De Dijk";"BU05560702";"4";".";".";".";".";".";".";".";".";".";"."
"Wijk 08 Wilgenrijk";"WK055608";"43";".";"91";"9";".";".";"47";"53";".";".";"0"
"Wilgenrijk";"BU05560801";"43";".";"91";"9";".";".";"47";"53";".";".";"0"
"Bernisse";"GM0568";"5517";"231";"94";"6";".";".";"66";"33";".";".";"0"
"Wijk 00 Abbenbroek";"WK056800";"552";"263";"95";"5";".";".";"70";"30";".";".";"0"
"Abbenbroek";"BU05680000";"413";"235";"95";"5";".";".";"65";"35";".";".";"0"
"Poldergebied Abbenbroek";"BU05680001";"139";"397";"96";"4";".";".";"84";"16";".";".";"0"
"Wijk 01 Heenvliet";"WK056801";"1045";"205";"97";"3";".";".";"73";"27";".";".";"0"
"Heenvliet";"BU05680100";"282";"232";"96";"4";".";".";"70";"30";".";".";"0"
"Bloemendaele";"BU05680101";"268";"171";"95";"5";".";".";"82";"18";".";".";"0"
"Ravensteijn-West";"BU05680102";"434";"188";"98";"2";".";".";"69";"31";".";".";"0"
"Poldergebied Heenvliet";"BU05680103";"61";".";"97";"3";".";".";"82";"18";".";".";"0"
"Wijk 02 Geervliet";"WK056802";"1109";"219";"94";"6";".";".";"60";"40";".";".";"0"
"Geervliet";"BU05680200";"165";"276";"92";"8";".";".";"60";"40";".";".";"0"
"Geervliet-Noordoost";"BU05680201";"568";"181";"98";"2";".";".";"55";"45";".";".";"0"
"Simonshaven";"BU05680202";"180";"221";"77";"23";".";".";"45";"55";".";".";"0"
"Poldergebied Geervliet";"BU05680203";"196";"421";"99";"1";".";".";"88";"12";".";".";"0"
"Wijk 03 Zuidland";"WK056803";"2282";"232";"91";"9";".";".";"67";"33";".";".";"0"
"Zuidland";"BU05680300";"1003";"223";"89";"11";".";".";"68";"32";".";".";"0"
"De Kerckhoek";"BU05680301";"607";"202";"97";"3";".";".";"64";"36";".";".";"0"
"Poldergebied Zuidland";"BU05680302";"672";"274";"89";"11";".";".";"67";"33";".";".";"1"
"Wijk 04 Oudenhoorn";"WK056804";"529";"268";"97";"3";".";".";"63";"37";".";".";"0"
"Oudenhoorn";"BU05680400";"364";"233";"96";"4";".";".";"56";"44";".";".";"0"
"Polder Nieuwenhoorn";"BU05680401";"49";"345";"96";"4";".";".";"71";"29";".";".";"0"
"Polder Oudenhoorn";"BU05680402";"116";"406";"100";"0";".";".";"81";"19";".";".";"0"
"Nieuwkoop";"GM0569";"10597";"271";"87";"13";".";".";"68";"32";".";".";"0"
"Wijk 00";"WK056900";"4499";"273";"88";"12";".";".";"68";"32";".";".";"0"
"Nieuwkoop";"BU05690000";"580";"464";"78";"22";".";".";"86";"14";".";".";"0"
"Noorden (gedeeltelijk)";"BU05690001";"336";"393";"83";"17";".";".";"74";"25";".";".";"1"
"Nieuwveenseweg";"BU05690002";"43";".";"86";"14";".";".";"79";"21";".";".";"0"
"Uitbreiding dorpskern Nieuwkoop";"BU05690003";"2815";"215";"90";"10";".";".";"62";"38";".";".";"0"
"Achttienhoven";"BU05690004";"47";".";"98";"2";".";".";"85";"15";".";".";"0"
"Uitbreiding dorpskern Noorden";"BU05690005";"344";"220";"98";"2";".";".";"67";"33";".";".";"0"
"Woerdense Verlaat";"BU05690006";"250";"366";"84";"16";".";".";"74";"26";".";".";"0"
"Verspreide huizen in het Noorden";"BU05690008";"58";"378";"100";"0";".";".";"76";"24";".";".";"0"
"Verspr.h. en Nieuwkoop Plassengebied";"BU05690009";"26";".";"85";"15";".";".";"81";"19";".";".";"0"
"Wijk 01 Nieuwveen";"WK056901";"1416";"274";"88";"12";".";".";"70";"29";".";".";"1"
"Nieuwveen";"BU05690100";"354";"388";"77";"23";".";".";"79";"20";".";".";"2"
"Schoterveld";"BU05690101";"699";"204";"90";"10";".";".";"61";"39";".";".";"0"
"Vrouwenakker";"BU05690104";"117";"349";"98";"2";".";".";"85";"13";".";".";"2"
"Verspr.h. in het Oosten en Zuiden";"BU05690108";"124";"303";"94";"6";".";".";"76";"24";".";".";"0"
"Verspreide huizen in het Noorden";"BU05690109";"122";"307";"97";"3";".";".";"79";"21";".";".";"0"
"Wijk 02 Zevenhoven";"WK056902";"1081";"272";"95";"5";".";".";"66";"34";".";".";"0"
"Zevenhoven";"BU05690200";"900";"254";"95";"5";".";".";"63";"37";".";".";"0"
"Noordse Dorp";"BU05690201";"24";".";"100";"0";".";".";"92";"8";".";".";"0"
"Recreatiegebied";"BU05690202";"5";".";".";".";".";".";".";".";".";".";"."
"Noordse Buurt";"BU05690203";"59";"345";"100";"0";".";".";"78";"22";".";".";"0"
"Verspreide huizen in het Westen";"BU05690208";"2";".";".";".";".";".";".";".";".";".";"."
"Verspreide huizen in het Oosten";"BU05690209";"91";"456";"96";"4";".";".";"79";"20";".";".";"1"
"Wijk 03 Ter Aar";"WK056903";"3601";"265";"84";"16";".";".";"68";"32";".";".";"0"
"Ter Aar (buitengebied)";"BU05690300";"222";"381";"81";"19";".";".";"79";"21";".";".";"0"
"Langeraar";"BU05690301";"316";"376";"73";"27";".";".";"87";"13";".";".";"0"
"Papenveer";"BU05690302";"418";"346";"98";"2";".";".";"77";"23";".";".";"0"
"Korteraar";"BU05690303";"242";"393";"97";"3";".";".";"92";"8";".";".";"0"
"Ter Aar-Centrum (voorheen Aardam)";"BU05690305";"1673";"214";"82";"18";".";".";"64";"36";".";".";"0"
"Langeraar-Nieuwbouw";"BU05690306";"708";"227";"80";"20";".";".";"53";"47";".";".";"0"
"Verspreide huizen Ter Aar";"BU05690309";"22";".";"77";"23";".";".";"82";"18";".";".";"0"
"Noordwijk";"GM0575";"12154";"328";"62";"38";".";".";"65";"35";".";".";"1"
"Wijk 00 Noordwijk-Binnen";"WK057500";"7527";"285";"67";"33";".";".";"62";"37";".";".";"0"
"Dorpskern";"BU05750000";"3601";"314";"65";"35";".";".";"60";"39";".";".";"1"
"Beeklaan-kwartier";"BU05750001";"2084";"249";"71";"29";".";".";"64";"36";".";".";"0"
"Boerenburg en Grashoek";"BU05750002";"1584";"247";"64";"36";".";".";"69";"31";".";".";"0"
"Estec";"BU05750004";"0";".";".";".";".";".";".";".";".";".";"."
"Dr. Mr. W. van den Berghstichting";"BU05750005";"149";".";"51";"49";".";".";"0";"100";".";".";"0"
"Verspreide huizen Zuiden en Oosten";"BU05750009";"109";"582";"89";"11";".";".";"88";"11";".";".";"1"
"Wijk 01 Noordwijk Aan Zee";"WK057501";"4627";"403";"55";"45";".";".";"68";"31";".";".";"1"
"Dorpskern";"BU05750100";"1801";"257";"48";"52";".";".";"69";"31";".";".";"1"
"Villawijk-Zuid";"BU05750101";"1029";"774";"45";"55";".";".";"87";"12";".";".";"1"
"De Noord";"BU05750102";"1611";"317";"66";"34";".";".";"55";"44";".";".";"1"
"Sancta Maria";"BU05750108";"22";".";"64";"36";".";".";".";".";".";".";"."
"Verspreide huizen Langeveld";"BU05750109";"164";"500";"79";"21";".";".";"81";"16";".";".";"3"
"Noordwijkerhout";"GM0576";"6867";"266";"73";"27";".";".";"60";"38";".";".";"2"
"Wijk 00";"WK057600";"6867";"266";"73";"27";".";".";"60";"38";".";".";"2"
"Noordwijkerhout";"BU05760000";"5368";"251";"67";"33";".";".";"55";"42";".";".";"2"
"Kleine Zilk";"BU05760001";"127";"401";"98";"2";".";".";"94";"6";".";".";"0"
"Grote Zilk";"BU05760002";"776";"244";"93";"7";".";".";"66";"34";".";".";"0"
"Verspr.h. ten zuiden van de gemeente";"BU05760008";"202";"473";"97";"3";".";".";"84";"16";".";".";"0"
"Verspreide huizen in het Centrum";"BU05760009";"394";"372";"98";"2";".";".";"85";"15";".";".";"0"
"Oegstgeest";"GM0579";"10269";"320";"64";"36";".";".";"69";"28";".";".";"3"
"Wijk 00 Oegstgeest";"WK057900";"10269";"320";"64";"36";".";".";"69";"28";".";".";"3"
"Rhijngeest";"BU05790001";"73";".";"82";"18";".";".";"77";"16";".";".";"7"
